
Initial pcm(0x7EC0) Step = (0) /cnt=25 / F8 FF 31 22 21 02 00 33 56 B8 00 75 87 87 77 00 77 A9 45 55 00 66 55 56 45
;ADPCM5   Step  PcmCode
   16   44      0x95E3
   16   43      0x9453
   18   43      0x9276
   19   47      0x9061
   16   47      0x8E4B
   17   46      0x8BE3
   18   46      0x8968
   18   48      0x86ED
   17   48      0x8447
   18   50      0x8146
   17   50      0x7E12
   16   49      0x7B4B
   18   49      0x77FE
   18   51      0x74B1
   16   51      0x71A4
   16   50      0x6E97
   16   50      0x6BD0
   16   49      0x6909
   16   49      0x6683
   15   48      0x6461
   15   48      0x6270
   14   47      0x60D9
   13   47      0x5FBA
   12   46      0x5EED
   10   46      0x5EC8
   0   45      0x5EED
   1   45      0x5F53
   3   44      0x6041
 
Initial pcm(0x6140) Step = (44) /cnt=150 / 00 75 77 9A 77 00 87 66 77 67 00 78 88 56 67 00 66 77 78 77 E0 66 34 01 53 FF A8 87 88 87 FF 77 99 66 98 FF 65 65 66 45 1F 33 03 20 42 00 64 88 66 88 00 77 76 98 45 00 55 66 55 66 00 66 67 78 68 C0 67 46 11 32 FF 96 97 77 AA FF 65 88 77 98 FF 76 66 76 77 1F 34 33 11 42 00 55 97 57 76 00 99 56 65 67 00 66 76 69 66 00 87 66 75 78 80 68 56 35 11 FF 53 A7 87 97 FF 66 87 78 99 FF 77 78 77 88 3F 45 23 02 20 00 33 55 87 46 00 88 66 67 86 00 55 56 66 66
;ADPCM5   Step  PcmCode
  5   44      0x6292
   7   43      0x645F
   7   43      0x6603
   7   42      0x67A7
   a   42      0x69BE
   9   46      0x6BA2
   7   46      0x6DD1
   7   45      0x7000
   7   45      0x71FE
   8   47      0x7440
   6   47      0x7656
   6   46      0x786C
   7   46      0x7A9B
   7   45      0x7CCA
   7   45      0x7EC8
   6   44      0x8082
   8   44      0x828E
   7   43      0x845B
   8   43      0x8638
   8   45      0x8815
   6   45      0x89CF
   5   44      0x8B45
   7   44      0x8D12
   6   43      0x8EA2
   6   43      0x900E
   6   42      0x917A
   7   42      0x92F8
   7   41      0x9476
   8   41      0x9600
   7   40      0x975A
   7   40      0x9895
   7   39      0x99D0
   6   39      0x9AC8
   6   38      0x9BC0
   4   38      0x9C5C
   3   37      0x9CD4
   1   37      0x9D02
   10   36      0x9CF3
   13   36      0x9C90
   15   35      0x9BF3
   18   35      0x9B15
   1a   41      0x9A03
   17   41      0x98A9
   18   43      0x971F
   18   43      0x9542
   18   45      0x9365
   17   45      0x9167
   18   47      0x8F25
   17   47      0x8CBD
   17   46      0x8A55
   19   46      0x8790
   19   50      0x84CB
   16   50      0x8204
   16   49      0x7F3D
   18   49      0x7BF0
   19   53      0x7840
   15   53      0x7520
   16   52      0x716E
   15   52      0x6E96
   16   51      0x6B39
   16   51      0x682C
   16   50      0x651F
   15   50      0x62C6
   14   49      0x60DA
   13   49      0x5F7F
   13   48      0x5E24
   13   48      0x5CE8
   10   47      0x5CBB
   10   47      0x5C92
   2   46      0x5D5F
   2   46      0x5E19
   4   45      0x5F69
   4   45      0x609B
   6   44      0x6255
   8   44      0x6461
   8   46      0x666D
   6   46      0x6852
   6   45      0x6A37
   8   45      0x6C79
   8   47      0x6EBB
   7   47      0x7123
   7   46      0x738B
   6   46      0x7570
   7   45      0x779F
   8   45      0x79E1
   9   49      0x7C67
   5   49      0x7E89
   4   48      0x8048
